iter	Passed	Remaining
406	5399	7867
407	5412	7853
408	5425	7839
409	5438	7825
410	5450	7810
411	5461	7794
412	5473	7779
413	5485	7764
414	5496	7748
415	5508	7733
416	5520	7717
417	5531	7702
418	5543	7687
419	5554	7670
420	5568	7657
421	5579	7642
422	5591	7627
423	5603	7611
424	5614	7596
425	5626	7580
426	5638	7565
427	5649	7550
428	5661	7535
429	5672	7520
430	5685	7506
431	5699	7493
432	5711	7478
433	5723	7464
434	5735	7449
435	5747	7435
436	5761	7423
437	5774	7409
438	5787	7395
439	5799	7381
440	5811	7366
441	5824	7352
442	5837	7339
443	5850	7325
444	5863	7312
445	5874	7297
446	5886	7282
447	5899	7268
448	5911	7254
449	5923	7239
450	5935	7225
451	5947	7211
452	5960	7197
453	5973	7183
454	5985	7169
455	5997	7155
456	6010	7141
457	6022	7127
458	6034	7112
459	6046	7098
460	6059	7084
461	6071	7070
462	6083	7055
463	6095	7041
464	6107	7026
465	6121	7014
466	6133	7000
467	6145	6986
468	6158	6972
469	6170	6958
470	6182	6944
471	6194	6929
472	6206	6915
473	6218	6900
474	6229	6885
475	6241	6870
476	6253	6857
477	6266	6843
478	6278	6829
479	6290	6814
480	6303	6801
481	6314	6786
482	6327	6772
483	6339	6758
484	6351	6744
485	6362	6728
486	6374	6715
487	6387	6701
488	6399	6687
489	6411	6673
490	6423	6658
491	6434	6644
492	6447	6630
493	6458	6615
494	6469	6600
495	6481	6585
496	6493	6571
497	6505	6557
498	6517	6543
499	6529	6529
500	6542	6515
501	6554	6502
502	6566	6488
503	6578	6474
504	6591	6460
505	6603	6446
506	6614	6431
507	6627	6418
508	6639	6404
509	6651	6390
510	6663	6376
511	6675	6362
512	6687	6348
513	6698	6334
514	6710	6319
515	6722	6305
516	6735	6292
517	6747	6278
518	6758	6263
519	6770	6250
520	6782	6235
521	6794	6221
522	6806	6207
523	6817	6193
524	6829	6179
525	6841	6165
526	6853	6151
527	6866	6137
528	6878	6124
529	6891	6111
530	6903	6097
531	6915	6083
532	6927	6069
533	6938	6055
534	6950	6040
535	6961	6026
536	6972	6012
537	6984	5997
538	6996	5983
539	7009	5971
540	7022	5958
541	7034	5944
542	7046	5930
543	7058	5917
544	7070	5903
545	7082	5889
546	7094	5875
547	7106	5861
548	7117	5846
549	7128	5832
550	7141	5819
551	7154	5806
552	7165	5792
553	7177	5778
554	7190	5765
555	7202	5751
556	7214	5737
557	7225	5723
558	7236	5708
559	7247	5694
560	7260	5681
561	7272	5668
562	7286	5655
563	7299	5642
564	7311	5629
565	7323	5615
566	7335	5602
567	7347	5588
568	7360	5575
569	7372	5561
570	7384	5547
571	7396	5534
572	7408	5520
573	7421	5507
574	7433	5494
575	7445	5480
576	7457	5467
577	7469	5453
578	7481	5439
579	7492	5425
580	7504	5412
581	7516	5398
582	7528	5384
583	7540	5371
584	7552	5357
585	7566	5345
586	7579	5332
587	7591	5319
588	7603	5305
589	7615	5292
590	7627	5278
591	7639	5264
592	7655	5254
593	7667	5240
594	7678	5226
595	7690	5212
596	7702	5199
597	7714	5185
598	7725	5171
599	7736	5157
600	7748	5144
601	7759	5130
602	7771	5116
603	7783	5103
604	7795	5089
605	7807	5076
606	7819	5062
607	7830	5048
608	7843	5036
609	7855	5022
610	7867	5008
611	7878	4995
612	7890	4981
613	7903	4968
614	7915	4955
615	7927	4941
616	7939	4928
617	7952	4915
618	7964	4902
619	7976	4889
620	7989	4875
621	8002	4863
622	8014	4849
623	8026	4836
624	8037	4822
625	8049	4809
626	8061	4795
627	8074	4782
628	8086	4769
629	8098	4756
630	8111	4743
631	8124	4730
632	8135	4716
633	8146	4703
634	8158	4689
635	8170	4676
636	8182	4662
637	8193	4648
638	8205	4635
639	8216	4621
640	8228	4608
641	8239	4594
642	8251	4581
643	8264	4568
644	8276	4555
645	8288	4542
646	8300	4528
647	8313	4515
648	8324	4502
649	8336	4488
650	8347	4475
651	8359	4462
652	8371	4448
653	8383	4435
654	8395	4422
655	8408	4409
656	8421	4396
657	8432	4383
658	8444	4369
659	8457	4356
660	8469	4343
661	8504	4341
662	8515	4328
663	8526	4314
664	8538	4301
665	8550	4288
666	8562	4274
667	8574	4261
668	8585	4247
669	8596	4234
670	8609	4221
671	8620	4207
672	8632	4194
673	8644	4181
674	8656	4167
675	8668	4154
676	8680	4141
677	8691	4127
678	8703	4114
679	8714	4101
680	8726	4087
681	8737	4074
682	8750	4061
683	8761	4047
684	8772	4034
685	8784	4020
686	8795	4007
687	8808	3994
688	8821	3981
689	8833	3968
690	8844	3955
691	8855	3941
692	8867	3928
693	8878	3914
694	8890	3901
695	8902	3888
696	8914	3875
697	8926	3862
698	8937	3848
699	8949	3835
700	8962	3822
701	8975	3810
702	8987	3796
703	8999	3783
704	9010	3770
705	9022	3757
706	9034	3744
707	9046	3731
708	9058	3717
709	9070	3704
710	9081	3691
711	9093	3678
712	9106	3665
713	9118	3652
714	9130	3639
715	9142	3626
716	9154	3613
717	9166	3600
718	9178	3586
719	9189	3573
720	9201	3560
721	9213	3547
