iter	Logloss
0	0.6380176411
1	0.5837312258
2	0.5453427914
3	0.5126683208
4	0.4854181875
5	0.4612635083
6	0.4415373109
7	0.42330939
8	0.4045333783
9	0.3892439028
10	0.3792406189
11	0.3700433925
12	0.3627430663
13	0.3563642422
14	0.3482015056
15	0.3434595876
16	0.3394220661
17	0.3344132678
18	0.3296008803
19	0.3269829086
20	0.3235801319
21	0.3206640766
22	0.319029647
23	0.3175800254
24	0.3158400091
25	0.3142987826
26	0.3123441427
27	0.3098095509
28	0.3086397625
29	0.3060426337
30	0.304102327
31	0.3018897011
32	0.2999249693
33	0.2987492895
34	0.2979892979
35	0.2975387699
36	0.2969058255
37	0.2959929752
38	0.2952742593
39	0.2940546988
40	0.2935572441
41	0.2930539999
42	0.2916948469
43	0.2904281418
44	0.2899261922
45	0.2895247149
46	0.2891069758
47	0.2885649312
48	0.2882036644
49	0.2879602966
50	0.287686949
51	0.2873589028
52	0.2870533403
53	0.2862411986
54	0.2859215416
55	0.2855814177
56	0.2852446618
57	0.2849342834
58	0.2847552367
59	0.2840298999
60	0.283703547
61	0.2833429633
62	0.2830620948
63	0.2828033657
64	0.2821348957
65	0.2818858593
66	0.281760213
67	0.2815512927
68	0.2814147743
69	0.2811674572
70	0.2808773831
71	0.2806926445
72	0.2805795954
73	0.2804415463
74	0.2803157151
75	0.2800835242
76	0.2796899748
77	0.2795418993
78	0.2794259118
79	0.2791803191
80	0.2789600026
81	0.2788566857
82	0.2787469834
83	0.2786256355
84	0.2784241635
85	0.2782050003
86	0.2780002341
87	0.2778534261
88	0.277654927
89	0.2775188723
90	0.2773880065
91	0.2772596386
92	0.277157471
93	0.2766489474
94	0.2764612246
95	0.2760445412
96	0.2759514103
97	0.2757502916
98	0.2756364707
99	0.2754050585
100	0.2753118104
101	0.2747916133
102	0.2746101619
103	0.2744277855
104	0.2743325335
105	0.2741355253
106	0.2740320187
107	0.273831582
108	0.2737426589
109	0.2736349647
110	0.2735048904
111	0.2732893261
112	0.27319254
113	0.2730932526
114	0.2729859599
115	0.272900285
116	0.2727203695
117	0.2726118281
118	0.2723102977
119	0.2721389324
120	0.2719949582
121	0.2719009325
122	0.2718068291
123	0.2717280614
124	0.2716187943
125	0.2715463781
126	0.2714173407
127	0.2712505274
128	0.2711513876
129	0.2710593002
130	0.2709675035
131	0.2708755873
132	0.2707647012
133	0.2706774842
134	0.2705718829
135	0.2704137138
136	0.2703108096
137	0.270145403
138	0.270012355
139	0.2698446417
140	0.2697748891
141	0.2696524733
142	0.2695033426
143	0.2694220397
144	0.2692747323
145	0.2691778287
146	0.2691127152
147	0.2689858515
148	0.2688944228
149	0.2688107677
150	0.2687356026
151	0.2686426725
152	0.2685299583
153	0.2684077568
154	0.2682687006
155	0.2681878605
156	0.2681079171
157	0.2679543564
158	0.2678649977
159	0.2677473956
160	0.2673443549
161	0.2672475622
162	0.2671314609
163	0.2669810832
164	0.2668117001
165	0.2667199266
166	0.2666411091
167	0.2665084438
168	0.2663600877
169	0.2662745591
170	0.2661904378
171	0.2661050011
172	0.2659198827
173	0.2658415911
174	0.2657601927
175	0.2656859978
176	0.2656122649
177	0.2655148098
178	0.2654165463
179	0.265320612
180	0.2651840083
181	0.2650904848
182	0.2649702132
183	0.2648431591
184	0.2647337079
185	0.2646116708
186	0.2645098664
187	0.2644063345
188	0.2643115804
189	0.2642321568
190	0.2641330463
191	0.264042715
192	0.2639403549
193	0.2638347491
194	0.2637372996
195	0.2636672531
196	0.2636011861
197	0.263487296
198	0.2633774593
199	0.263252364
200	0.2631346584
201	0.2630265261
202	0.2629186008
203	0.2628291483
204	0.2627120657
205	0.2626138646
206	0.2625369109
207	0.2624644452
208	0.2623804671
209	0.2622655373
210	0.2621603811
211	0.2620894975
212	0.2620317055
213	0.2619251996
214	0.261826723
215	0.2617436564
216	0.2616422832
217	0.2615002961
218	0.2614216402
219	0.2612966145
220	0.2612307802
221	0.261156696
222	0.261048195
223	0.2609618417
224	0.2608653186
225	0.2607671863
226	0.260689798
227	0.2605968202
228	0.2604969826
229	0.2604137598
230	0.2603392344
231	0.2602281095
232	0.2601636426
233	0.2600859975
234	0.2599927288
235	0.259930514
236	0.2598336623
237	0.2597630071
238	0.2596709424
239	0.2595995586
240	0.259511872
241	0.259423118
242	0.2593459801
243	0.2592567193
244	0.259177336
245	0.2591076452
246	0.2590174498
247	0.2589593296
248	0.2588715821
249	0.2587969258
250	0.258692468
251	0.2586106513
252	0.2585423102
253	0.258481552
254	0.2584116454
255	0.2583423101
256	0.2582748702
257	0.2581908441
258	0.2581276814
259	0.2580697505
260	0.2580057123
261	0.2579226994
262	0.257853764
263	0.2577492134
264	0.2576909689
265	0.2576294923
266	0.2575547148
267	0.2574748285
268	0.2574145348
269	0.2573568211
270	0.2572952803
271	0.2572166272
272	0.2571195378
273	0.2570314245
274	0.2569791501
275	0.256881402
276	0.2568249473
277	0.2567472996
278	0.2566761095
279	0.2565939835
280	0.2565268044
281	0.2564475038
282	0.2563567108
283	0.2563020012
284	0.2562261525
285	0.2561477724
286	0.2560790408
287	0.2560076773
288	0.2558375422
289	0.2557599936
290	0.2556679333
291	0.2555818467
292	0.2555258798
293	0.2554422551
294	0.2553500058
295	0.2552749129
296	0.2552009645
297	0.2551149116
298	0.2550499198
299	0.2549755205
300	0.2549010713
301	0.2548345265
302	0.254766124
303	0.2546918953
304	0.2546106167
305	0.254521871
306	0.2544560249
307	0.2543905663
308	0.2543227394
309	0.2542569038
310	0.2541871885
311	0.2541141639
312	0.2540513953
313	0.2539994931
314	0.2539413845
315	0.2538607954
316	0.2538006247
317	0.253733932
318	0.2536677537
319	0.253614351
320	0.253530027
321	0.2534546276
322	0.2533797556
323	0.2533311557
324	0.2532748961
325	0.2532234678
326	0.2531665682
327	0.2530909473
328	0.2530299697
329	0.2529815515
330	0.2529369913
331	0.2528444353
332	0.2527635937
333	0.2527099098
334	0.2526250271
335	0.2525657152
336	0.2525137119
337	0.2524479832
338	0.2523896665
339	0.2523051443
340	0.2522435615
341	0.2521844114
342	0.2521399349
343	0.2520931504
344	0.2519963679
345	0.2519529984
346	0.2518619096
347	0.2518083237
348	0.2517098802
349	0.2516477994
350	0.2515757795
351	0.2515064107
352	0.251458392
353	0.2513905656
354	0.2513412416
355	0.2512710737
356	0.2511765923
357	0.251115896
